"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1","POLR2A","9606","ncbigene:5430","false","POLR2A","protein"
"POL2RB|RPB2|hRPB140","POLR2B","9606","ncbigene:5431","false","POLR2B","protein"
"RPB3|RPB31|hRPB33|hsRPB3","POLR2C","9606","ncbigene:5432","false","POLR2C","protein"
"HSRBP4|HSRPB4|RBP4|RPB16","POLR2D","9606","ncbigene:5433","false","POLR2D","protein"
"RPABC1|RPB5|XAP4|hRPB25|hsRPB5","POLR2E","9606","ncbigene:5434","false","POLR2E","protein"
"HRBP14.4|POLRF|RPABC14.4|RPABC2|RPB14.4|RPB6|RPC15","POLR2F","9606","ncbigene:5435","false","POLR2F","protein"
"RPB19|RPB7|hRPB19|hsRPB7","POLR2G","9606","ncbigene:5436","false","POLR2G","protein"
"RPABC3|RPB17|RPB8","POLR2H","9606","ncbigene:5437","false","POLR2H","protein"
"RPB9|hRPB14.5","POLR2I","9606","ncbigene:5438","false","POLR2I","protein"
"POLR2J1|RPB11|RPB11A|RPB11m|hRPB14","POLR2J","9606","ncbigene:5439","false","POLR2J","protein"
"ABC10-alpha|RPABC4|RPB10alpha|RPB12|RPB7.0|hRPB7.0|hsRPB10a","POLR2K","9606","ncbigene:5440","false","POLR2K","protein"
"RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6","POLR2L","9606","ncbigene:5441","false","POLR2L","protein"
"GTF2D|GTF2D1|HDL4|SCA17|TFIID","TBP","9606","ncbigene:6908","false","TBP","protein"
"TF2B|TFIIB","GTF2B","9606","ncbigene:2959","false","GTF2B","protein"
"BAF180|PB1","PBRM1","9606","ncbigene:55193","false","PBRM1","protein"
"DNMAP1|DNMTAP1|EAF2|MEAF2|SWC4","DMAP1","9606","ncbigene:55929","false","DMAP1","protein"
"C1orf149|CENP-28|EAF6|NY-SAR-91","MEAF6","9606","ncbigene:64769","false","MEAF6","protein"
"4930573H17Rik|B230215M10Rik|GAS41|NUBI-1|YAF9","YEATS4","9606","ncbigene:8089","false","YEATS4","protein"
"BAF170|CRACC2|Rsc8","SMARCC2","9606","ncbigene:6601","false","SMARCC2","protein"
"ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A","RUVBL1","9606","ncbigene:8607","false","RUVBL1","protein"
"ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B","RUVBL2","9606","ncbigene:10856","false","RUVBL2","protein"
"CAGH32|P400|TNRC12","EP400","9606","ncbigene:57634","false","EP400","protein"
"B120|BAF250|BAF250a|BM029|C1orf4|ELD|MRD14|OSA1|P270|SMARCF1|hELD|hOSA1","ARID1A","9606","ncbigene:8289","false","ARID1A","protein"
